ISBN,Title
439023483,"飢餓遊戲 (飢餓遊戲, #1)"
439554934,"哈利波特與魔法石 (哈利波特, #1)"
316015849,"暮光之城 (暮光之城, #1)"
61120081,"殺死一隻知更鳥"
743273567,"了不起的蓋茨比"
525478817,"星際異鄉人"
618260307,"哈比人"
316769177,"麥田裡的守望者"
1416524797,"天使與魔鬼 (羅伯特·蘭登, #1)"
679783261,"傲慢與偏見"
1594480001,"追風箏的人"
62024035,"分歧者 (分歧者, #1)"
451524934,"一九八四"
452284244,"動物農莊"
553296981,"安妮日記"
307269752,"龍紋身的女兒 (千年系列, #1)"
439023491,"燃燒的女孩 (飢餓遊戲, #2)"
043965548X,"哈利波特與阿茲卡班的囚徒 (哈利波特, #3)"
618346252,"魔戒 (魔戒, #1)"
439023513,"嘲笑鳥 (飢餓遊戲, #3)"
439358078,"哈利波特與鳳凰會的密令 (哈利波特, #5)"
316166685,"美麗的空虛"
439064864,"哈利波特與密室 (哈利波特, #2)"
439139600,"哈利波特與火焰盃 (哈利波特, #4)"
545010225,"哈利波特與死神的聖物 (哈利波特, #7)"
307277674,"達文西密碼 (羅伯特·蘭登, #2)"
439785960,"哈利波特與混血王子 (哈利波特, #6)"
140283331,"蠅王"
743477111,"羅密歐與茱麗葉"
297859382,"消失的女孩"
399155341,"相助"
142000671,"人鼠之間"
739326228,"Memoirs of a Geisha"
1612130291,"五十度灰 (五十度, #1)"
61122416,"牧羊少年奇幻之旅"
385732554,"給者 (給者, #1)"
60764899,"納尼亞傳奇 (納尼亞傳奇, #1)"
965818675,"時光盡頭的戀人"
553588486,"冰與火之歌 (冰與火之歌, #1)"
143038419,"吃禪行"
786838655,"閃電小偷 (波西·傑克森與奧林匹斯, #1)"
451529308,"小婦人 (小婦人, #1)"
142437204,"簡愛"
553816713,"愛書"
770430074,"少年Pi的奇幻漂流"
1565125606,"大象的眼淚"
375831002,"偷書賊"
307347974,"華氏 451"
316160199,"新月 (暮光之城, #2)"
60513039,"人行道終點"
1416914285,"骸骨之城 (不死之身, #1)"
316160202,"月食 (暮光之城, #3)"
375826696,"伊拉岡 (繼承循環, #1)"
345391802,"銀河系漫游指南 (銀河系漫游指南, #1)"
60929871,"美麗新世界"
031606792X,"破曉 (暮光之城, #4)"
142001740,"蜜蜂的秘密生活"
142437174,"哈克貝利·芬恩的冒險"
64410935,"夏洛的網"
1400032717,"夜間尋狗記"
1594633665,"火車上的女孩"
679879242,"黃金羅盤 (黑暗物質, #1)"
393978893,"咆哮山莊"
743454537,"我妹妹的守護者"
385333846,"第五號屠宰場"
446675539,"飄"
1594489505,"千嬌百媚"
671027344,"壁花少年"
7442912,"叛亂 (分歧者, #2)"
812550706,"安德遊戲 (安德系列, #1)"
141439475,"科學怪人"
450040186,"閃靈 (閃靈 #1)"
316068047,"宿主 (宿主, #1)"
142402516,"尋找阿拉斯加"
014028009X,"布里奇特瓊斯的日記 (布里奇特瓊斯, #1)"
141439661,"理智與情感"
439244196,"洞 (洞, #1)"
307275558,"穿普拉達的女王 (穿普拉達的女王, #1)"
143039954,"奧德賽"
156012197,"小王子"
074324754X,"玻璃城堡"
385486804,"荒野生存"
141439602,"雙城記"
030734813X,"侏儸紀公園 (侏儸紀公園, #1)"
60256656,"給樹"
385338600,"殺死一個美國夢"
374500010,"夜 (夜三部曲 #1)"
014241493X,"紙鎮"
345418263,"公主新娘"
014038572X,"局外人"
385737947,"迷宮 (迷宮, #1)"
61234001,"怪誕經濟學：一個 rogue 經濟學家探索一切隱藏的事 (怪誕經濟學, #1)"
517189607,"秘密花園"
60531045,"百年孤獨"
375751513,"道林格雷的肖像"
345803507,"五十度自由 (五十度, #3)"
393970124,"德古拉"
307269981,"玩火的女孩 (千年系列, #2)"
1612130585,"五十度陰影 (五十度, #2)"
